filename,submission_id,actual_verdict,predicted_verdict,predicted_line_number
15.json,s344127711,Compile Error,Accepted,0
17.json,s969741673,Accepted,Accepted,0
24.json,s811774350,Compile Error,Compile Error,8
12.json,s766459232,Accepted,Accepted,0
15.json,s071106168,Accepted,Accepted,0
7.json,s553645687,Accepted,Accepted,0
27.json,s610340231,Accepted,Accepted,0
1.json,s091365769,Accepted,Accepted,0
20.json,s595356661,Compile Error,Accepted,0
5.json,s534271370,Compile Error,Accepted,0
11.json,s833829420,Compile Error,Accepted,0
18.json,s788089668,Accepted,Accepted,0
26.json,s350293594,Compile Error,Accepted,0
4.json,s996543406,Accepted,Accepted,0
12.json,s632643079,Compile Error,Compile Error,12
13.json,s958565268,Compile Error,Accepted,0
25.json,s612555448,Accepted,Accepted,0
26.json,s645582201,Compile Error,Accepted,0
22.json,s181957212,Compile Error,Accepted,0
20.json,s849507075,Compile Error,Compile Error,12
7.json,s638440565,Accepted,Accepted,0
2.json,s780346549,Compile Error,Compile Error,19
18.json,s482204832,Accepted,Accepted,0
23.json,s705258324,Compile Error,Compile Error,5
22.json,s040032628,Compile Error,Compile Error,4
21.json,s470902061,Accepted,Accepted,0
16.json,s047097402,Compile Error,Accepted,0
7.json,s058733494,Accepted,Accepted,0
3.json,s219171807,Compile Error,Accepted,0
26.json,s877697367,Accepted,Accepted,0
5.json,s376770920,Compile Error,Compile Error,12
26.json,s277394075,Compile Error,Accepted,0
18.json,s017328445,Accepted,Accepted,0
25.json,s243557043,Compile Error,Compile Error,12
3.json,s685934882,Accepted,Accepted,0
17.json,s373953397,Compile Error,Compile Error,2
10.json,s021116713,Compile Error,Compile Error,12
5.json,s927820464,Accepted,Accepted,0
8.json,s700070819,Accepted,Accepted,0
22.json,s038842952,Compile Error,Compile Error,6
23.json,s513316548,Accepted,Accepted,0
9.json,s474595835,Compile Error,Accepted,0
15.json,s392268605,Accepted,Accepted,0
26.json,s392004051,Accepted,Accepted,0
12.json,s649909374,Accepted,Accepted,0
18.json,s151908180,Accepted,Accepted,0
9.json,s107890136,Compile Error,Compile Error,6
26.json,s681739919,Compile Error,Accepted,0
3.json,s494266703,Compile Error,Compile Error,1
25.json,s780982399,Accepted,Accepted,0
