case_no,code_token
1,"import java.util.HashMap;
import java.util.Map;
import java.util.Scanner;

public class Maim {
	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int N = sc.nextInt();
		sc.close();
		int[] p = {2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41,
				43, 47, 53, 59, 61, 67, 71, 73, 79, 83, 89, 97};
		Map<Integer, Integer> map = new HashMap<Integer, Integer>();
		for(int i = 2; i <= N; i++) {
			int t = i;
			for(int k : p) {
				if(t == 1) break;
				while(t % k == 0) {
					map.merge(k, 1, (v1, v2) -> v1 + v2);
					t /= k;
				}
			}
		}
		int cnt = 0;
		int a = 0;
		int b = 0;
		int c = 0;
		int d = 0;
		int e = 0;
		for(int k : map.keySet()) {
			//System.out.println(k +"" "" + map.get(k));
			int t = map.get(k);
			if(t >= 74) {
				a++;
			}
			if(t >= 24) {
				b++;
			}
			if(t >= 14) {
				c++;
			}
			if(t >= 4) {
				d++;
			}
			if(t >= 2) {
				e++;
			}
		}
		//System.out.println(a);
		cnt += a;
		cnt += b * (e - 1);
		cnt += c * (d - 1);
		cnt += (d * (d - 1) * (e - 2)) / 2;
		System.out.println(cnt);
	}
}"
2,"import java.util.*;

public class Main{
	public static void main(String[] args){
		int i,n,maxNo,maxCount,key;
		Integer rst;
		Scanner scan = new Scanner(System.in);

		while(true){
			HashMap<Integer,Integer> hm = new HashMap<Integer,Integer>();
			if((n=scan.nextInt()) == 0) break;

			for(i=maxCount=maxNo=0;i<n;i++){
				key = scan.nextInt();
				rst = hm.get(key);

				if(rst == null) hm.put(key,1);
				else{
					rst++;	
					hm.put(key,rst);
					if(maxCount < rst){
						maxCount = rst;
						maxNo = key;
					}
				}
			}

			if(maxCount > n/2) System.out.println(maxNo);
			else System.out.println(""NO COLOR"");
		}
	}
}"
1,"package aoj;
import java.util.Scanner;

public class Main {

    public static void main(String[] args) {
        Scanner scan = new Scanner(System.in);
        String sa = scan.next();
        String sb = scan.next();
        int a = new Integer(sa);
        int b = new Integer(sb);
        
        String result=compare(a,b);
        System.out.println(result);
    }
    
    public static String compare(int a, int b){
        String result = """";
        if(a>b) result = ""a > b"";
        if(a<b) result = ""a < b"";
        if(a==b) result = ""a == b"";
        return result;
    }
    
}"
1,"package begin20200404;

import java.util.ArrayList;
import java.util.Scanner;

public class Main {

	public static void main(String[] args) {
		// TODO 自動生成されたメソッド・スタブ
		Scanner sc = new Scanner(System.in);
		int N = sc.nextInt();
		int M = sc.nextInt();

		long totalNum = 0;

		ArrayList<Integer> numListN = new ArrayList<Integer>();
		ArrayList<Integer> numListM = new ArrayList<Integer>();
//		System.out.println(numListN);

		for(int i = 1;i <= N;i++) {
			int num = sc.nextInt();
			numListN.add(num);
			totalNum += num;
		}
		sc.close();

		//最大値の取得
		for(int j = 0;j < M; j++) {
			int max = 0;
			int maxLocation = 0;
			for(int i = 0;i < numListN.size(); i++) {
				if(max < numListN.get(i)) {
					max = numListN.get(i);
					maxLocation = i;
				}
			}
			if(max != 0) {
				numListM.add(max);
				numListN.remove(maxLocation);
			}
		}

//		System.out.println(numListM);

		String answer = ""Yes"";
		for(int j = 0;j < M; j++) {
			if(numListM.get(j) < (totalNum/(4*M))) {
//				System.out.println(numListM.get(j));
				answer = ""No"";
			}
		}
//		System.out.println(totalNum);
		System.out.println(answer);
	}

}
"
2,"
import java.io.*;
import java.math.*;
import java.util.*;

import static java.util.Arrays.*;

public class Main {
	private static final int mod = (int)1e9+7;

	final Random random = new Random(0);
	final IOFast io = new IOFast();

	/// MAIN CODE
	public void run() throws IOException {
//		int TEST_CASE = Integer.parseInt(new String(io.nextLine()).trim());
		int TEST_CASE = 1;
		while(TEST_CASE-- != 0) {
			Patricia p = new Patricia();
			int n = io.nextInt();
			char[][] cs = new char[n][];
			for(int i = 0; i < n; i++) {
				p.add(cs[i] = io.next());
			}
			
			int[] prefix = new int[n];
			int[][][] cnt = new int[n][26][26];
			for(int i = 0; i < n; i++) {
				Patricia cur = p;
				for(int j = 0; j < cs[i].length; ) {
					final int idx = Patricia.toIndex(cs[i][j]);
					for(int k = 0; k < Patricia.ALPHABET_SIZE; k++) {
						if(k != idx && cur.next[k] != null) {
							cnt[i][k][idx] += cur.next[k].cnt;
						}
					}
					cur = cur.next[Patricia.toIndex(cs[i][j])];
					j += cur.str.length;
					prefix[i] += cur.countTerminate();
//					dump(i, j, cur.str);
				}
			}
			
			int q = io.nextInt();
			for(int t = 0; t < q; t++) {
				int k = io.nextInt() - 1;
				char[] ps = io.next();
				int ans = prefix[k];
				for(int i = 0; i < ps.length; i++) {
					for(int j = i + 1; j < ps.length; j++) {
						ans += cnt[k][Patricia.toIndex(ps[i])][Patricia.toIndex(ps[j])];
					}
				}
				io.out.println(ans);
			}
		}
	}
	
	static
	public class Patricia {
		static int gid;
		static final int ALPHABET_SIZE = 26;
		
		final int id;
		int cnt;
		char[] str;
		Patricia[] next = new Patricia[ALPHABET_SIZE];
		
		public static int toIndex(char c) {
			return c - 'a';
		}
		
		public Patricia() {
			id = gid++;
			str = new char[0];
		}
		
		private Patricia(char[] cs, int start, int len) {
			str = Arrays.copyOfRange(cs, start, start + len);
			id = gid++;
		}
		
		public void add(char[] cs) {
			Patricia cur = this;
			cur.cnt++;
			if(cs.length == 0) return;
			for(int i = 0, j = 0; i < cs.length; ) {
				Patricia next = cur.next[toIndex(cs[j])];
				if(next == null) {
					cur.next[toIndex(cs[j])] = new Patricia(cs, j, cs.length - j);
					cur.next[toIndex(cs[j])].cnt++;
					return;
				}
				for(; ; i++) {
					if(i - j >= next.str.length) {
						break;
					}
					if(i >= cs.length || next.str[i - j] != cs[i]) {
						cur.next[toIndex(cs[j])] = next = next.split(i - j);
						break;
					}
				}
				j = i;
				next.cnt++;
				cur = next;
			}
		}
		
		private Patricia split(int len) {
			Patricia parent = new Patricia(str, 0, len);
			str = Arrays.copyOfRange(str, len, str.length);
			parent.next[toIndex(str[0])] = this;
			parent.cnt = this.cnt;
			return parent;
		}
		
		public int countTerminate() {
			int cnt = this.cnt;
			for(int i = 0; i < next.length; i++) {
				if(next[i] != null) {
					cnt -= next[i].cnt;
				}
			}
			return cnt;
		}
		
		public boolean find(char[] cs) {
			Patricia cur = this;
			int j = 0;
			for(int i = 0; i < cs.length; i++, j++) {
				if(i - j >= cur.str.length) {
					cur = cur.next[toIndex(cs[i])];
					if(cur == null) return false;
					j = 0;
				}
				if(cur.str[j] != cs[i]) {
					return false;
				}
			}
			if(j != cur.str.length) {
				return false;
			}
			return cur.countTerminate() != 0;
		}
		
		public void dump() {
			dump("""");
		}
		
		public void dump(String indent) {
			Main.dump(indent, new String(str), cnt);
			for(int i = 0; i < next.length; i++) {
				if(next[i] != null) {
					next[i].dump(indent + ""  "");
				}
			}
		}
	}
	
	/// TEMPLATE
	static int gcd(int n, int r) { return r == 0 ? n : gcd(r, n%r); }
	static long gcd(long n, long r) { return r == 0 ? n : gcd(r, n%r); }
	
	static <T> void swap(T[] x, int i, int j) { T t = x[i]; x[i] = x[j]; x[j] = t; }
	static void swap(int[] x, int i, int j) { int t = x[i]; x[i] = x[j]; x[j] = t; }

	void printArrayLn(int[] xs) { for(int i = 0; i < xs.length; i++) io.out.print(xs[i] + (i==xs.length-1?""\n"":"" "")); }
	void printArrayLn(long[] xs) { for(int i = 0; i < xs.length; i++) io.out.print(xs[i] + (i==xs.length-1?""\n"":"" "")); }
	
	static void dump(Object... o) { System.err.println(Arrays.deepToString(o)); } 
	
	void main() throws IOException {
		//		IOFast.setFileIO(""rle-size.in"", ""rle-size.out"");
		try { run(); }
		catch (EndOfFileRuntimeException e) { }
		io.out.flush();
	}
	public static void main(String[] args) throws IOException { new Main().main(); }
	
	static class EndOfFileRuntimeException extends RuntimeException {
		private static final long serialVersionUID = -8565341110209207657L; }

	static
	public class IOFast {
		private BufferedReader in = new BufferedReader(new InputStreamReader(System.in));
		private PrintWriter out = new PrintWriter(System.out);

		void setFileIn(String ins) throws IOException { in.close(); in = new BufferedReader(new FileReader(ins)); }
		void setFileOut(String outs) throws IOException { out.flush(); out.close(); out = new PrintWriter(new FileWriter(outs)); }
		void setFileIO(String ins, String outs) throws IOException { setFileIn(ins); setFileOut(outs); }

		private static int pos, readLen;
		private static final char[] buffer = new char[1024 * 8];
		private static char[] str = new char[500*8*2];
		private static boolean[] isDigit = new boolean[256];
		private static boolean[] isSpace = new boolean[256];
		private static boolean[] isLineSep = new boolean[256];

		static { for(int i = 0; i < 10; i++) { isDigit['0' + i] = true; } isDigit['-'] = true; isSpace[' '] = isSpace['\r'] = isSpace['\n'] = isSpace['\t'] = true; isLineSep['\r'] = isLineSep['\n'] = true; }
		public int read() throws IOException { if(pos >= readLen) { pos = 0; readLen = in.read(buffer); if(readLen <= 0) { throw new EndOfFileRuntimeException(); } } return buffer[pos++]; }
		public int nextInt() throws IOException { int len = 0; str[len++] = nextChar(); len = reads(len, isSpace); int i = 0; int ret = 0; if(str[0] == '-') { i = 1; } for(; i < len; i++) ret = ret * 10 + str[i] - '0'; if(str[0] == '-') { ret = -ret; } return ret; }
		public long nextLong() throws IOException { int len = 0; str[len++] = nextChar(); len = reads(len, isSpace); int i = 0; long ret = 0; if(str[0] == '-') { i = 1; } for(; i < len; i++) ret = ret * 10 + str[i] - '0'; if(str[0] == '-') { ret = -ret; } return ret; }
		public char nextChar() throws IOException { while(true) { final int c = read(); if(!isSpace[c]) { return (char)c; } } }
		int reads(int len, boolean[] accept) throws IOException { try { while(true) { final int c = read(); if(accept[c]) { break; } if(str.length == len) { char[] rep = new char[str.length * 3 / 2]; System.arraycopy(str, 0, rep, 0, str.length); str = rep; } str[len++] = (char)c; } } catch(EndOfFileRuntimeException e) { ; } return len; }
		int reads(char[] cs, int len, boolean[] accept) throws IOException { try { while(true) { final int c = read(); if(accept[c]) { break; } cs[len++] = (char)c; } } catch(EndOfFileRuntimeException e) { ; } return len; }
		public char[] nextLine() throws IOException { int len = 0; str[len++] = nextChar(); len = reads(len, isLineSep); try { if(str[len-1] == '\r') { len--; read(); } } catch(EndOfFileRuntimeException e) { ; } return Arrays.copyOf(str, len); }
		public String nextString() throws IOException { return new String(next()); }
		public char[] next() throws IOException { int len = 0; str[len++] = nextChar(); len = reads(len, isSpace); return Arrays.copyOf(str, len); }
//		public int next(char[] cs) throws IOException { int len = 0; cs[len++] = nextChar(); len = reads(cs, len, isSpace); return len; }
		public double nextDouble() throws IOException { return Double.parseDouble(nextString()); }
		public long[] nextLongArray(final int n) throws IOException { final long[] res = new long[n]; for(int i = 0; i < n; i++) { res[i] = nextLong(); } return res; }
		public int[] nextIntArray(final int n) throws IOException { final int[] res = new int[n]; for(int i = 0; i < n; i++) { res[i] = nextInt(); } return res; }
		public int[][] nextIntArray2D(final int n, final int k) throws IOException { final int[][] res = new int[n][]; for(int i = 0; i < n; i++) { res[i] = nextIntArray(k); } return res; }
		public int[][] nextIntArray2DWithIndex(final int n, final int k) throws IOException { final int[][] res = new int[n][k+1]; for(int i = 0; i < n; i++) { for(int j = 0; j < k; j++) { res[i][j] = nextInt(); } res[i][k] = i; } return res; }
		public double[] nextDoubleArray(final int n) throws IOException { final double[] res = new double[n]; for(int i = 0; i < n; i++) { res[i] = nextDouble(); } return res; }
	}
}
"
3,"import java.util.Scanner;
public class Main{
public static void main(String[] args){
Scanner scan = new Scanner(System.in);

int n = scan.nextInt();
int[] a = new int[n];
for(int j = 0;j<n;j++){
a[j]= scan.nextInt();}
for(int i = j-1;i>=0;i--){
if(i>0){System.out.println(a[i] + "" "");
}
else{System.out.print(a[0]);}
}}"
4,"import java.util.*;

public class Main {

	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		long N = sc.nextLong();
		long [] A = new long [5];
		long min = (long) Math.pow(10, 15);
		for (int i=0;i<5;i++) {
			A[i] = sc.nextInt();
			min = Math.min(A[i], min);
		}
		long result = N/min + 5;
		System.out.println(result);
	}
}	
"
5,"import java.math.*;
import java.util.*;
import java.util.function.*;
 
public class Main {
  public static void main(String[] args) {
    Scanner sc = new Scanner(System.in);
    int N = sc.nextInt();
    int[] A = new int[N];
    Map<Integer, Integer> fA[] = new Map[N];
    Map<Integer, Integer> lcm = new HashMap<>();
    for (int i = 0; i < N; i++) {
      A[i] = sc.nextInt();
      fA[i] = f(A[i]);
      for (Map.Entry<Integer, Integer> a : fA[i].entrySet())
        lcm.put(a.getKey(), Math.max(lcm.getOrDefault(a.getKey(), 0), a.getValue()));
    }
    sc.close();

    long mod = 1000000007;
    long ans = 0;
    for (Map<Integer, Integer> f : fA) {
      long bi = 1;
      for (Map.Entry<Integer, Integer> lcm_p : lcm.entrySet()) {
        int b = lcm_p.getKey();
        int e = lcm_p.getValue() - f.getOrDefault(lcm_p.getKey(), 0);
        for (int i = 0; i < e; i++) {
          bi *= b;
          bi %= mod;
        }
      }
      ans += bi;
      ans %= mod;
    }
    System.out.println(ans);
  }

  private static Map<Integer, Integer> f(int n) {
    Map<Integer, Integer> f = new HashMap<>();
    int m = n;
    int s = SIEVE[m - 1];
    while (s != 0) {
      f.put(s, f.getOrDefault(s, 0) + 1);
      m /= s;
      s = SIEVE[m - 1];
    }
    return f;
  }

  private static int[] SIEVE = sieve(1000000);

  private static int[] sieve(int n) {
    int [] sieve = new int[n];
    for (int i = 2; i <= n; i += 2) sieve[i - 1] = 2;
    int sqrt = (int) Math.sqrt(n);
    for (int i = 3; i <= n; i += 2) {
      if (sieve[i - 1] == 0) sieve[i - 1] = i;
      if (i <= sqrt)
        for (int j = i * i; j <= n; j += i)
          if (sieve[j - 1] == 0) sieve[j - 1] = i;
    }
    return sieve;
  }
}"
6,"import java.util.Scanner;
class Main{
    int r;
    double A = 0,B = 0,C = 3.141592653589;
    public void solve(){
        Scanner sc = new Scanner(System.in);
        r = sc.nextInt();
        if(r > 0){
        A = 1.0 * r * r * C;
        B = 1.0 * 2.0 * r * C;
        }
    }
    public void outputtt(){
        System.out.printf(""%3.6f %3.6f %n"",A,B);
    }
    public static void main(String[] args){
        new Main().solve();
        new Main().outputtt();

    }
}"
7,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.ArrayList;
import java.util.Collections;

public class Main {
    public static void main(String[] args) {
        try {
            // 標準入力
            InputStreamReader isr = new InputStreamReader(System.in);
            BufferedReader br = new BufferedReader(isr);
            String strArr[] = br.readLine().split("" "");
            int n = Integer.parseInt(strArr[0]);
            int k = Integer.parseInt(strArr[1]);
            ArrayList<Integer> ans = new ArrayList<Integer>();
            for (int i = 0; i < n; i++) {
                strArr = br.readLine().split("" "");
                int num = Integer.parseInt(strArr[0]);
                int count = Integer.parseInt(strArr[1]);
                for (int j = 0; j < count; j++) {
                    ans.add(num);
                }
            }
            Collections.sort(ans);
            Collections.reverse(ans);
            System.out.println(ans.get(k));
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}"
