filename,submission_id,actual_verdict,predicted_verdict,predicted_line_number
12.json,s421585273,Compile Error,Compile Error,1
15.json,s966375947,Compile Error,Compile Error,7
15.json,s925819012,Compile Error,Compile Error,8
19.json,s022950469,Accepted,Accepted,0
17.json,s705994346,Compile Error,Accepted,0
1.json,s605210996,Accepted,Accepted,0
1.json,s376712509,Accepted,Accepted,0
3.json,s512058878,Compile Error,Accepted,0
11.json,s162320622,Compile Error,Compile Error,6
6.json,s855316541,Compile Error,Compile Error,18
9.json,s146978502,Accepted,Accepted,0
19.json,s791983488,Accepted,Accepted,0
25.json,s487286663,Accepted,Accepted,0
8.json,s611716304,Accepted,Accepted,0
23.json,s969470920,Compile Error,Accepted,0
13.json,s146266434,Accepted,Accepted,0
19.json,s250125961,Accepted,Accepted,0
11.json,s531735056,Accepted,Accepted,0
22.json,s650908296,Accepted,Accepted,0
15.json,s096482244,Accepted,Accepted,0
1.json,s659998676,Compile Error,Accepted,0
10.json,s643620888,Accepted,Accepted,0
25.json,s186543488,Compile Error,Compile Error,17
24.json,s977239467,Compile Error,Accepted,0
20.json,s833848003,Compile Error,Accepted,0
27.json,s106394890,Accepted,Accepted,0
5.json,s315658990,Accepted,Accepted,0
21.json,s855065008,Compile Error,Compile Error,13
22.json,s632428628,Accepted,Accepted,0
27.json,s046094660,Accepted,Accepted,0
22.json,s885673906,Accepted,Accepted,0
7.json,s343457667,Compile Error,Compile Error,1
11.json,s472941469,Accepted,Accepted,0
25.json,s559664773,Accepted,Accepted,0
14.json,s301052785,Accepted,Accepted,0
16.json,s588544908,Compile Error,Accepted,0
23.json,s264465454,Compile Error,Accepted,0
5.json,s812360957,Compile Error,Accepted,0
18.json,s687419438,Compile Error,Compile Error,8
0.json,s638587222,Accepted,Accepted,0
10.json,s727325713,Accepted,Accepted,0
20.json,s301815844,Accepted,Accepted,0
16.json,s991555011,Compile Error,Compile Error,43
26.json,s573105657,Accepted,Accepted,0
20.json,s459435855,Compile Error,Compile Error,8
14.json,s809097713,Accepted,Accepted,0
7.json,s307844797,Compile Error,Compile Error,12
9.json,s805572339,Accepted,Accepted,0
9.json,s567154527,Accepted,Accepted,0
26.json,s072539163,Compile Error,Accepted,0
8.json,s977734580,Accepted,Accepted,0
2.json,s248246207,Compile Error,Compile Error,3
0.json,s694493269,Compile Error,Accepted,0
26.json,s267087084,Compile Error,Accepted,0
1.json,s628759760,Accepted,Accepted,0
4.json,s444632190,Accepted,Accepted,0
25.json,s066248756,Compile Error,Compile Error,2
11.json,s754475272,Compile Error,Accepted,0
27.json,s272959619,Compile Error,Compile Error,10
1.json,s344669188,Compile Error,Accepted,0
7.json,s019604079,Accepted,Accepted,0
26.json,s805339060,Accepted,Accepted,0
0.json,s016089106,Accepted,Accepted,0
24.json,s596277283,Accepted,Accepted,0
1.json,s338737393,Accepted,Accepted,0
21.json,s265861336,Compile Error,Accepted,0
13.json,s242571701,Compile Error,Compile Error,11
14.json,s516175072,Accepted,Accepted,0
22.json,s833689472,Accepted,Accepted,0
20.json,s451357087,Compile Error,Accepted,0
10.json,s667259582,Accepted,Accepted,0
23.json,s041151513,Accepted,Accepted,0
2.json,s863959223,Accepted,Accepted,0
0.json,s324864954,Accepted,Accepted,0
27.json,s154834690,Compile Error,Compile Error,5
20.json,s260595409,Accepted,Accepted,0
24.json,s180729554,Compile Error,Accepted,0
8.json,s079511891,Compile Error,Accepted,0
12.json,s632369230,Compile Error,Accepted,0
21.json,s760536490,Accepted,Accepted,0
18.json,s720792109,Compile Error,Compile Error,29
18.json,s656285626,Accepted,Accepted,0
6.json,s418657967,Compile Error,Compile Error,14
7.json,s124161609,Accepted,Accepted,0
7.json,s160938980,Accepted,Accepted,0
10.json,s044966726,Accepted,Accepted,0
12.json,s430113730,Accepted,Accepted,0
9.json,s234349393,Accepted,Accepted,0
13.json,s590795065,Accepted,Accepted,0
13.json,s028823918,Accepted,Accepted,0
15.json,s266061710,Compile Error,Accepted,0
1.json,s656494533,Compile Error,Compile Error,5
10.json,s480644410,Compile Error,Compile Error,26
1.json,s091486105,Compile Error,Accepted,0
9.json,s847871492,Compile Error,Accepted,0
3.json,s131955229,Accepted,Accepted,0
3.json,s530306822,Compile Error,Compile Error,12
2.json,s162373971,Compile Error,Compile Error,30
23.json,s995322292,Compile Error,ERROR,-1
8.json,s027354924,Accepted,Accepted,0
10.json,s724754545,Compile Error,Compile Error,1
4.json,s716450873,Compile Error,Accepted,0
1.json,s334655025,Compile Error,Compile Error,39
16.json,s207221185,Accepted,Accepted,0
9.json,s045959424,Accepted,Accepted,0
11.json,s439218491,Compile Error,Compile Error,9
16.json,s698819394,Compile Error,Compile Error,7
0.json,s557266083,Compile Error,Compile Error,39
9.json,s697861804,Accepted,Accepted,0
4.json,s569003207,Accepted,Accepted,0
8.json,s645072031,Accepted,Accepted,0
11.json,s260467201,Accepted,Accepted,0
0.json,s167061617,Accepted,Accepted,0
18.json,s497252598,Compile Error,Accepted,0
11.json,s488782907,Accepted,Accepted,0
14.json,s612526731,Compile Error,Accepted,0
5.json,s100600071,Compile Error,Accepted,0
15.json,s621800291,Accepted,Accepted,0
15.json,s114810000,Compile Error,Accepted,0
25.json,s848433923,Accepted,Accepted,0
16.json,s234765755,Compile Error,Compile Error,54
22.json,s117074199,Compile Error,Compile Error,12
16.json,s039765403,Accepted,Compile Error,12
27.json,s101261574,Accepted,Accepted,0
16.json,s481272368,Compile Error,Accepted,0
23.json,s588501916,Accepted,Accepted,0
21.json,s255209249,Compile Error,Accepted,0
6.json,s129093508,Compile Error,Compile Error,19
